"","assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","Scientific.x","MSW3_ID","Scientific.y","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel"
"4100",50651398,8539,"Felis bieti","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Felis","bieti",NA,NA,NA,"Milne-Edwards, 1892","Vulnerable","C2a(i)",3.1,"Decreasing","Global","Felis bieti",4800,"Felis bieti","Felidae",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",5500,"Ref_117",1
"4101",50651463,8540,"Felis chaus","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Felis","chaus",NA,NA,NA,"Schreber, 1777","Least Concern","",3.1,"Decreasing","Global","Felis chaus",4799,"Felis chaus","Felidae",0,80,20,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",7392.98,"Ref_117",1
"4102",50651884,8541,"Felis margarita","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Felis","margarita",NA,NA,NA,"Loche, 1858","Least Concern","",3.1,"Unknown","Global","Felis margarita",4798,"Felis margarita","Felidae",0,90,10,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",2524.99,"Ref_117",1
"4103",50652196,8542,"Felis nigripes","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Felis","nigripes",NA,NA,NA,"Burchell, 1824","Vulnerable","C2a(i)",3.1,"Decreasing","Global","Felis nigripes",4797,"Felis nigripes","Felidae",0,80,20,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",1299.99,"Ref_117",1
"4104",50652361,60354712,"Felis silvestris","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Felis","silvestris",NA,NA,NA,"Schreber, 1777","Least Concern","",3.1,"Decreasing","Global","Felis silvestris",4796,"Felis silvestris","Felidae",10,80,10,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,1,0,"Ref_1","ABC",5099.99,"Ref_117",1
"4105",50653167,9948,"Herpailurus yagouaroundi","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Herpailurus","yagouaroundi",NA,NA,NA,"(É. Geoffroy Saint-Hilaire, 1803)","Least Concern","",3.1,"Decreasing","Global","Herpailurus yagouaroundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4106",50653881,54012637,"Leopardus tigrinus","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Leopardus","tigrinus",NA,NA,NA,"(Schreber, 1775)","Vulnerable","A2c",3.1,"Decreasing","Global","Leopardus tigrinus",4803,"Leopardus tigrinus","Felidae",0,100,0,0,0,0,0,0,0,0,"Ref_42","ABC","S","B","",1,1,1,"Ref_2","D1",2250,"Ref_117",1
"4107",50654216,11511,"Leopardus wiedii","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Leopardus","wiedii",NA,NA,NA,"(Schinz, 1821)","Near Threatened","",3.1,"Decreasing","Global","Leopardus wiedii",4805,"Leopardus wiedii","Felidae",0,80,0,0,0,0,20,0,0,0,"Ref_1","ABC","S","A","",1,1,0,"Ref_1","ABC",3249.97,"Ref_117",1
"4108",50655794,12520,"Lynx pardinus","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Lynx","pardinus",NA,NA,NA,"(Temminck, 1827)","Endangered","D",3.1,"Increasing","Global, Europe & Mediterranean","Lynx pardinus",4812,"Lynx pardinus","Felidae",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",9400,"Ref_117",1
"4109",50655874,12521,"Lynx rufus","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Lynx","rufus",NA,NA,NA,"(Schreber, 1777)","Least Concern","",3.1,"Stable","Global","Lynx rufus",4813,"Lynx rufus","Felidae",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",8904.1,"Ref_117",1
